F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
-471.81,-1.14,20,7.45,1.98,-0.18,-9.18,-38.61,-28.14,-12.9,60,-189.87,8.45,4.85,9.24,False
-546.81,-8.52,20,6.4,4.24,3.42,-11.31,-46.26,-48.14,-11.28,350,-44.87,7.2,2.91,10.32,False
-486.81,-6.66,20,10.15,-1.22,3.34,-14.01,-39.81,-48.14,-12.14,190,-124.87,8.55,6.31,11.25,True
-282.81,8.37,2,0.38,3.58,-16.24,2.19,-22.26,-22.14,-22.32,10,-34.87,1.43,8.5,10.15,False
-336.81,-2.16,20,8.45,-1.18,2.94,-11.1,-37.11,-28.14,-15.84,105,-124.87,6.45,4.17,,False
-231.81,13.02,2,0.82,-1.3,-7.36,11.19,-21.96,-26.14,-20.96,28,-3.87,1.83,8.03,,True
-291.81,-6.57,20,8.35,0.14,0.22,-13.83,-47.61,-28.14,-10.66,195,-89.87,6.95,4.57,,True
-291.81,8.4,2,0.46,1.5,-5.6,0.9,-23.16,-22.14,-20.7,10,-20.87,1.1,8.52,11.6,True
-381.81,4.8,20,6.5,-2.82,-2.98,-4.68,-36.81,-28.14,-19.78,40,-204.87,14.85,7.51,10.99,False
-246.81,8.55,2,0.62,2.66,-6.88,1.95,-21.51,-26.14,-21.92,5,-33.87,0.58,8.43,,False
-249.81,8.49,2,0.04,-1.2,-6.22,2.07,-23.49,-26.14,-21.56,21,-41.87,1.38,9.95,11.75,True
-396.81,1.14,20,5.65,1.04,3.68,-14.31,-46.26,-28.14,-15.16,170,-164.87,7,6.79,,False
-441.81,-7.44,20,6.05,-1.32,3.54,-8.49,-43.71,-48.14,-13.6,50,-64.87,9.3,4.03,,True
-240.81,7.38,2,0.51,-1.48,-7.16,6.99,-22.62,-22.14,-20.84,3,-10.87,1.88,8.03,11.08,True
-291.81,-5.16,20,9,3.5,4.96,-8.04,-46.71,-48.14,-9.58,350,-99.87,8.55,2.49,11.63,True
-66.81,-2.25,20,7.7,-1.42,0.68,-11.16,-42.66,-48.14,-13.18,365,-149.87,9.2,6.75,10.14,True
-228.81,7.35,2,0.67,0.04,-5.8,3.45,-23.22,-22.14,-20.5,75,-17.87,0.77,8.6,,True
-336.81,-5.28,20,7.9,0.02,-7.56,-14.46,-45.51,-28.14,-13.08,290,-174.87,11.55,3.15,,True
-273.81,9.66,2,0.2,2.9,-6.3,22.08,-22.44,-26.14,-24.84,11,-15.87,0.03,8.1,,False
-246.81,2.13,20,5.65,-2.56,2.24,-12.42,-42.06,-68.14,-13.32,365,-144.87,13,5.21,9.46,False
-171.81,3.42,20,9,-1.06,2.38,-12.96,-39.81,-48.14,-16.18,250,-224.87,8.2,10.45,,False
-216.81,-3.45,20,7.25,-2.1,-0.56,-11.58,-37.26,-48.14,-14.9,280,-94.87,10.8,5.78,10.29,False
-297.81,9.36,2,0.67,1.74,-8.02,0.51,-22.41,-18.14,-20.4,18,-13.87,0.64,9.67,,True
-234.81,8.79,2,0.79,1.16,-5.28,10.68,-22.59,-22.14,-22.92,14,0.13,1.03,8.84,,True
-315.81,9.51,2,0.38,-0.62,-5.64,6.72,-22.53,-22.14,-21.88,2,-0.87,1.14,8.18,10.06,False
-81.81,-4.98,20,9.9,-0.88,-0.2,-13.56,-39.06,-48.14,-14.26,235,-159.87,5.95,4.15,11.4,True
-291.81,-4.98,20,8.95,-2.7,-0.5,-11.88,-38.46,-48.14,-19.44,95,-69.87,5.8,5.23,12.43,True
