F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
193.83,UK,49.74,14.16,213.02,343.06,1753.44,-6.03,6.28,8,-5145.92,Low,11.35,1.01,1,68.92,51.16
1495.47,Europe,58.02,5.88,137.8,270.48,1665.33,-0.52,9.72,14,11145.82,High,10.3,0.3,5,89.3,0
1121.31,USA,68.85,9.18,209.54,295.26,3208.65,-4,3.86,6,31859,Medium,7.98,13.05,4,-11.8,2808.51
-305.49,USA,49.29,8.73,171.83,266.06,1704.18,-2.41,4.16,6,8075.76,Low,16.52,2.01,5,41.4,1092.21
1457.07,UK,64.98,7.92,74.1,260.22,1922.34,-11.97,5,18,9886.72,High,5.37,0.01,1,62.74,0
-759.24,USA,72.21,9.75,58.96,313.9,1196.61,-0.06,4.3,8,11282.14,Very low,10.25,0.15,7,83.96,318.33
785.31,USA,65.85,30.72,207.92,154.28,-942.21,-1.13,11.82,18,10040.68,Low,10.54,39.79,6,129.98,0
-535.5,USA,59.13,21.81,143.83,252.78,1271.31,-1.67,8.88,8,12407.34,Low,9.61,9.07,2,58.44,1318.04
2133.96,UK,71.85,5.31,210.5,181.5,2143.38,-3.88,6.82,8,21743.72,Very high,11.72,0.47,7,-31.76,1489.92
520.32,USA,72.15,14.46,176.01,322.4,1614.54,-3,15.72,6,3932.82,High,11.94,0.8,3,79.86,2713.38
695.88,Rest,59.1,17.7,161.48,202.06,894.48,-4.44,15.14,8,8488.06,Very high,12.94,1.85,6,77.28,831.34
28.89,USA,42.12,15.99,163.13,109.04,1328.46,-3.26,8.46,6,-20843.34,High,9.97,24.31,3,35.9,2473.75
-512.85,Rest,67.59,7.59,178.81,159.62,2072.79,-1.99,6.58,12,6069.3,Very low,11.75,1.18,4,-135.32,998.85
2105.1,USA,60.06,17.22,247.4,180,176.85,-1.51,6.3,2,5749.06,Very high,8.79,48.25,5,109.2,119.68
546.09,Rest,61.26,24.48,156.03,187.1,876.36,-0.03,5.62,12,-7326.58,Very low,8.33,5.25,5,128.12,0
1835.16,Rest,41.73,10.71,113.42,223.58,458.04,-2.33,3.94,10,24059.36,High,11.72,0.03,5,45.08,0
1240.89,Europe,16.29,8.94,176.09,200.94,627.15,-3.44,5,8,14144.52,Very low,15.58,0.3,5,60.54,0
-1098.63,UK,54.24,10.35,176.61,293.4,2475.87,-6.87,18.1,6,5355.92,Low,7.39,0,1,59.4,1721.82
-1717.98,Rest,59.22,23.85,167.68,118.16,2521.14,-9.41,13.78,6,12357.68,Very high,5.42,0.14,2,20.58,2184.98
1066.59,UK,62.19,3.75,215.91,210.72,51.09,-4.49,4.56,10,11991.14,Low,10.76,29.68,4,58.38,0
697.59,Europe,64.32,25.2,74.58,292.12,560.01,-9.64,12.56,6,4908.6,Very high,7.08,0.2,1,-56,2757.3
365.25,Rest,65.67,8.73,200.16,255.88,-513.87,-3.73,31.84,8,-9001.02,Low,13.74,2.93,3,-71.18,1342.36
-1375.8,Rest,70.05,2.4,142.94,377.92,849.27,-6.78,6.02,10,31237.24,Very low,7.25,0.45,3,53.58,0
58.71,UK,67.68,9.81,57.3,213.6,176.79,-2.66,9.62,6,13356.9,Medium,15.27,30.68,3,90.46,0
1712.94,Europe,56.13,1.38,176.01,224.42,2498.34,-5.59,13.18,6,17065.12,Medium,13.51,2256.24,4,6.14,1602.56
1150.05,Europe,57.57,6.39,234.45,137.58,1120.44,1.93,3.72,8,955.38,High,15.47,42.21,4,142.58,0
671.31,USA,70.53,7.02,199.74,285.98,403.32,-7.73,21.28,14,18387.42,Low,4.56,0.06,5,106.98,0
1645.11,UK,60.39,14.61,216.1,78.8,2428.08,-5.47,8.04,8,10080.48,Low,12.69,27.53,3,49.06,444.22
1639.44,UK,60.42,14.73,178.03,130.4,2309.46,-5.05,10.94,2,-2707.64,High,9.1,0.04,3,-100.86,2716.09
731.22,Europe,68.25,5.73,164.86,301.8,764.37,-0.8,5.68,12,12661.5,High,14.15,69.11,4,71.38,0
-650.73,USA,63.69,51.51,200.65,149.9,587.22,-2.99,12.22,4,970.14,Low,13.38,0.25,4,65.2,3774.02
183.24,USA,61.59,3.93,141.05,163.5,462.6,-0.69,4.68,10,10935.82,Very high,12.32,32.43,2,42.08,0
-128.37,Rest,91.65,17.55,160.8,388.06,1262.13,-6.8,4.32,10,1501.54,Low,12.99,0.32,2,25.56,138.26
312.75,UK,46.95,15.18,146.71,196.7,1710.87,-2.14,17.04,12,-4377.32,Very low,5.47,0,4,-26.92,1613.6
315.06,Rest,44.16,42.27,181.69,171.38,1568.31,-5.81,5.16,0,13910.78,Very high,18.33,0.85,1,68.28,1351.77
884.31,Europe,64.95,10.68,176.43,246.82,2281.83,0.34,1.56,6,34505.44,High,18.67,1.89,5,-11.52,1986.75
-812.19,UK,61.29,2.94,148.11,239.68,2066.67,-3.9,15.94,6,26952.88,Very high,7.53,34.2,5,-4.68,2560.01
924.09,USA,72.06,11.97,139.14,282.46,273.36,5.21,13.8,8,6591.88,High,8.6,0.11,4,-65.92,3277.13
54.54,UK,74.64,5.85,185.54,218.64,847.29,-4.29,3.88,6,3958.76,Very high,10.59,129.72,6,27.98,901.44
-298.26,Rest,50.4,3.99,347.65,187.08,1733.01,-2.58,6.14,12,4542.88,Very low,9.77,402.77,5,111.64,0
1272,Rest,83.79,0.81,166.54,156.18,-366.51,-8.15,8.82,4,8831.88,Very low,13.26,0.07,3,119.54,0
49.86,Rest,79.38,22.35,138.24,279.22,-132.81,-6.03,2.12,4,177.56,Medium,8.7,39.25,3,28.7,204.91
553.95,Rest,63.18,17.37,204.5,235.86,1370.55,-3.22,22.16,8,2646.06,High,7.31,1.01,6,22.12,1645.33
408.96,Europe,48.51,18.72,170.86,227.18,1654.23,-2.27,17.3,4,17629.8,Low,11.25,52.69,5,82.12,2491.88
317.46,Rest,44.55,4.89,140.39,178.06,245.52,-1.83,7.14,8,15669.82,Very high,7.83,0.01,3,-22.86,312.71
1204.17,UK,55.35,8.37,171.79,255.92,302.37,1.3,5.36,6,4516.88,High,12.12,0.46,4,46.58,0
2332.74,UK,57.96,21.54,195.4,260.6,1630.32,-7.68,7.78,10,8975.12,Very high,6.75,0.01,4,13.1,1073.28
1462.38,USA,74.25,14.22,289.29,172.18,1300.65,-4.14,10.52,4,19410.86,High,11.31,0.02,3,88.16,785.02
1371,Europe,43.17,12.27,204.41,164.16,487.02,-3.69,8.44,8,9297.04,Medium,13.05,2.12,4,107.96,0
665.88,Rest,50.88,0.87,140.81,141.96,2074.62,-7.57,6.26,10,21749.84,High,7.42,0.03,3,65.7,19.96
1067.85,USA,61.59,6.54,235.15,156.6,108.6,-4.48,6.58,6,11934.78,Very low,9.49,0,7,-41.4,769.82
625.44,Rest,67.83,3.69,71.24,171.08,852.75,-5.67,4.06,6,8071.16,High,12.19,1.91,5,10.34,222.73
931.05,Rest,56.76,8.91,180.46,268.06,1116.12,-4.47,13.3,4,24849.9,Very high,10.34,0.01,2,12.6,700.59
719.7,Europe,57.66,12.33,171.89,201.8,2032.95,-4.49,10.06,8,11680.26,Very low,12.29,23.47,3,111.76,0
1959.93,Rest,42.06,9.96,145.01,201.14,46.29,0.34,4.2,8,8033.8,High,8.64,12.86,4,-61.16,148.54
-101.64,UK,56.4,33.78,279.65,235.5,1788.36,-1.1,3.82,8,11297.46,High,9.98,0.33,5,-6.26,2364.45
-223.26,Europe,62.01,20.28,173.43,235.84,2318.49,0.46,17.76,6,7680.04,Very high,13.58,234.1,8,69.52,2969.4
1533.57,USA,65.73,14.91,105.98,204.64,2867.64,-3.55,11.94,4,17099.78,Low,6.36,0.02,2,51.54,2280.15
2389.56,Rest,58.89,8.73,176.4,227.36,2023.86,0.86,4.78,10,6724.62,Low,10.77,42.09,2,99.6,0
2346,USA,74.67,7.5,141.38,259.34,1492.29,-9.79,3,6,21979.38,Very low,10.12,0.15,7,101.48,0
1360.47,Rest,62.04,10.86,184.52,342.52,-287.97,-9.15,6.66,6,4261.12,Low,13.35,0.36,3,16.94,0
937.59,Europe,61.26,9.54,151.02,128.88,123.09,-7.72,8.3,4,14934.76,High,12.59,0.31,5,-3.42,1394.41
